,Segment Length,Coordinates
2028,49.61913153,"[[-123.1308616504346, 49.27599797951011], [-123.13134734944722, 49.27631138835264]]"
2029,167.04294704,"[[-123.2031472198597, 49.24840287824588], [-123.20497003781833, 49.2493159942789]]"
2030,47.3947565,"[[-123.18522155899106, 49.246171330056164], [-123.18587271642903, 49.24617572278184]]"
2031,164.00791938,"[[-123.04045753876365, 49.28497176641762], [-123.0415054281009, 49.28508563434682], [-123.0416451276179, 49.28507796787342], [-123.04247135689518, 49.28465117551931]]"
2032,92.51675089,"[[-123.12248869433475, 49.282172440649134], [-123.12338294864017, 49.28158057620788]]"
2033,49.0603119,"[[-123.14627425673976, 49.274870218608555], [-123.14627425131783, 49.274870244701525], [-123.14625616296898, 49.27531136563288]]"
2034,97.47120575,"[[-123.14128529340545, 49.20530383223927], [-123.14128533325886, 49.20530384658299], [-123.14176250672453, 49.205467033928144], [-123.1422749819654, 49.2058693958837]]"
2035,48.41319945,"[[-123.14224761053167, 49.20666264572221], [-123.14223198796043, 49.20709801572367]]"
2036,61.98668084,"[[-123.17670597809206, 49.25473304860238], [-123.17670602309943, 49.25472717825044], [-123.17670821887297, 49.25444493264489], [-123.17670807835002, 49.25443944397395], [-123.17670674465744, 49.254414221605614], [-123.17670662823211, 49.254412018853245], [-123.17670522773736, 49.2544004198544], [-123.17670348643865, 49.254388820477146], [-123.17670201078863, 49.25438157528172], [-123.17670119227287, 49.25437748370651], [-123.17669984022122, 49.25437137082076], [-123.17669876033831, 49.254366434094116], [-123.17669856832936, 49.25436577054024], [-123.17669046106808, 49.25433782038437], [-123.17668878114411, 49.25433263450805], [-123.17668466208224, 49.25432130952301], [-123.17667997547564, 49.25430998450614], [-123.17667519093689, 49.254299327084546], [-123.1766751743181, 49.254299291129065], [-123.17667004091845, 49.25428868551345], [-123.17666433530994, 49.25427754285811], [-123.1766613450821, 49.25427216288903], [-123.17665829123743, 49.25426666967728], [-123.1766519128492, 49.25425607316065], [-123.1766515272884, 49.2542554683715], [-123.17664529870238, 49.25424564521476], [-123.17663825735386, 49.25423526559636], [-123.1766382297255, 49.254235225160116], [-123.17663071930446, 49.254224713129034], [-123.17662342575088, 49.254215283791], [-123.17662338847752, 49.254215236173266], [-123.17660175110599, 49.25418772946938]]"
2037,31.62530143,"[[-123.16480689402027, 49.260249319559726], [-123.16480993859686, 49.26016729145397], [-123.16481741057558, 49.259964927143564]]"
2038,174.59676034,"[[-123.14806430220249, 49.26550110244976], [-123.1504477956866, 49.26553921071528], [-123.15046338483366, 49.26553946027163], [-123.15046344119955, 49.26553946379629]]"
2039,50.93638717,"[[-123.15216222097573, 49.26556675235301], [-123.15286213651919, 49.265578037674786]]"
2040,64.85307545,"[[-123.17408351821715, 49.251915074502115], [-123.1740835513228, 49.25191511043316], [-123.174644447775, 49.2523683493176], [-123.17464447395668, 49.25236836996702]]"
2041,43.4560009,"[[-123.17565170355729, 49.25308422765397], [-123.17556378130423, 49.253021047492126], [-123.17556373584843, 49.25302101697745], [-123.17555934194448, 49.25301811099992], [-123.17553346076672, 49.25300103510729], [-123.17551512323891, 49.25298923064554], [-123.1755027963057, 49.252981295792225], [-123.17548468236312, 49.25297014853704], [-123.17547145463152, 49.252962008158356], [-123.1754397775751, 49.2529430772362], [-123.17543973488694, 49.252943052114375], [-123.17540746540698, 49.25292445760484], [-123.17540740895173, 49.25292442530775], [-123.17537471077387, 49.252906223631804], [-123.17534145460266, 49.25288837990383], [-123.17530773659075, 49.2528708831833], [-123.17530545571013, 49.25286978472893], [-123.17520907357016, 49.25282330327707]]"
2042,54.11409632,"[[-123.15006037031206, 49.27625512853431], [-123.15006031531699, 49.27625512770621], [-123.15004172172392, 49.27674170517324]]"
2043,261.82022262,"[[-123.1994676553735, 49.26885585541092], [-123.20033281866168, 49.26858075958692], [-123.20118883761796, 49.26830857144508], [-123.20119651734758, 49.26830617434335], [-123.2012067313027, 49.26830297225484], [-123.20121537954148, 49.26830043314012], [-123.20122337288214, 49.26829808676311], [-123.20124001656463, 49.26829338116941], [-123.20125699189903, 49.26828876854576], [-123.20127396279672, 49.2682844176878], [-123.20129119561611, 49.26828025167227], [-123.20130829583724, 49.26827626758828], [-123.20130834390373, 49.268276256710294], [-123.20132573358244, 49.268272468214874], [-123.20133326558754, 49.26827092950393], [-123.20134317509171, 49.26826891889897], [-123.20136061732691, 49.26826554858372], [-123.20137832417154, 49.268262347813994], [-123.20139595910928, 49.26825938014276], [-123.20141374037314, 49.268256565132155], [-123.2014315254681, 49.26825401637026], [-123.2014495312598, 49.268251655220595], [-123.20146755145853, 49.268249456856175], [-123.20148545182427, 49.26824753664976], [-123.20150358524398, 49.268245800435814], [-123.20152170974004, 49.26824423604299], [-123.20153105975162, 49.268243570281314], [-123.20153984080687, 49.26824293519539], [-123.20155808402735, 49.26824183384284], [-123.20157621522755, 49.26824090359169], [-123.20158631403284, 49.268240487485365], [-123.20159446541805, 49.26824016382844], [-123.20161282107686, 49.268239669447375], [-123.20161286093611, 49.26823966847828], [-123.20163095621209, 49.268239367945576], [-123.20163100431877, 49.26823936696211], [-123.20164931751533, 49.26823924684985], [-123.20166811843569, 49.268239401136704], [-123.20166909310596, 49.268239421923504], [-123.20167108099719, 49.268239478721696], [-123.2028574367743, 49.268264770756055]]"
2044,225.53625913,"[[-123.14553073646698, 49.241963956628766], [-123.14553073639031, 49.24196393054267], [-123.14559931538314, 49.23993573967123], [-123.1455993317683, 49.239935705468646]]"
2045,50.11665912,"[[-123.09739147006594, 49.22883942588213], [-123.09741132670035, 49.228388801466174]]"
2046,50.33861695,"[[-123.09737258536077, 49.22929206527775], [-123.09738435641925, 49.2290097832115], [-123.09739147423944, 49.22883945286443], [-123.09739147006594, 49.22883942588213]]"
2047,100.39934321,"[[-123.09732958488497, 49.23019473703659], [-123.09735284074944, 49.22974413685884], [-123.09736093507033, 49.22955828619237], [-123.09737255660374, 49.22929210937875], [-123.09737258536077, 49.22929206527775]]"
2048,41.74056388,"[[-123.09696925695887, 49.239251371311994], [-123.09698561613908, 49.238876093090404], [-123.09698561194904, 49.23887605801246]]"
2049,50.27035932,"[[-123.09700053208635, 49.23851176506583], [-123.0970188106969, 49.23805972964902]]"
2050,358.67160684,"[[-123.11825992015035, 49.268680562920146], [-123.11825987489608, 49.26868060794245], [-123.11813974747203, 49.26873667017189], [-123.11813368955178, 49.26895485490108], [-123.11813368549667, 49.268954883689865], [-123.11809205127007, 49.26907582261116], [-123.11809204310828, 49.269075858600274], [-123.11798062351792, 49.26917606468848], [-123.11792352396759, 49.26924324604309], [-123.11792141434285, 49.26924572727263], [-123.11793453888725, 49.269305570620986], [-123.11793870948233, 49.269324599302614], [-123.11791261999628, 49.26945933890646], [-123.11781128594352, 49.26947688486026], [-123.11771197029177, 49.26949407245907], [-123.11763831772191, 49.269503850589174], [-123.11758630865856, 49.26951075517085], [-123.1175484013572, 49.26959092295845], [-123.11751651050982, 49.26967159284211], [-123.11748259997312, 49.26975736774455], [-123.11730618045641, 49.269884717482306], [-123.11688394586965, 49.27002327921882], [-123.11688391291025, 49.270023292744966], [-123.11675847790949, 49.270079612557524], [-123.11666085769275, 49.270155978732554], [-123.1164901125592, 49.27028943102228], [-123.11633616429343, 49.27035838318496], [-123.1162705360914, 49.27038776998431], [-123.11602996979961, 49.270459414775374], [-123.1158377716757, 49.27057814360949], [-123.11580303476178, 49.27060602035828], [-123.1157429595835, 49.27065423273256], [-123.11564861869869, 49.27070973490124], [-123.11555629832746, 49.27076404850532], [-123.11541772689142, 49.27079052134044], [-123.11531540823574, 49.270810057620025], [-123.1151751108334, 49.27081505495866]]"
2051,203.9553115,"[[-123.12049732279075, 49.2713709570636], [-123.12049495805614, 49.271372531889654], [-123.1198458247355, 49.27181145286265], [-123.11983943230285, 49.27272905283899], [-123.11996541597097, 49.272840978813655], [-123.11976372045326, 49.27282697924137], [-123.1197153650806, 49.272833371861545]]"
2052,92.92642766,"[[-123.0951133099625, 49.26680872193512], [-123.09510941191014, 49.2670269244173], [-123.0951094106203, 49.26702696849482], [-123.09510855053918, 49.26705077140196], [-123.09510854922344, 49.26705080198673], [-123.09510678044572, 49.26707454627338], [-123.09510532200926, 49.26708811853226], [-123.09510420497088, 49.26709837937692], [-123.09510075098353, 49.2671221259499], [-123.09509637586258, 49.26714578152977], [-123.0950911113183, 49.267169396463494], [-123.09509110040483, 49.267169439649415], [-123.0950850190906, 49.26719291133173], [-123.09507804554104, 49.26721631088674], [-123.09507426383786, 49.26722761017055], [-123.09507024842593, 49.267239608573576], [-123.09506157827897, 49.267262814327545], [-123.09491691419429, 49.2676299526896]]"
2053,49.02399025,"[[-123.14785146722942, 49.271139595605405], [-123.14786840528188, 49.27069875532192]]"
2054,140.69890413,"[[-123.0929452709044, 49.26526343124998], [-123.09101149423589, 49.26524823328165]]"
2055,13.66854754,"[[-123.13433832649737, 49.2765078938356], [-123.13443395267983, 49.27660166898554], [-123.1344426220504, 49.2766101701449]]"
2056,23.60068892,"[[-123.1344426220504, 49.2766101701449], [-123.1346226835408, 49.27678677349179]]"
2057,88.76729828,"[[-123.1522405353384, 49.24207867193129], [-123.15224189554218, 49.242078697124576], [-123.15345963245153, 49.242100203745075]]"
2058,24.30207964,"[[-123.08391506238296, 49.24676776676097], [-123.08390970184358, 49.24698634128235]]"
2059,18.69157571,"[[-123.08403519744176, 49.24234787704846], [-123.08402779578427, 49.24251594226774]]"
2060,35.28984597,"[[-123.0838107375655, 49.25091003624818], [-123.08379814226049, 49.25122733934391], [-123.0837981409366, 49.25122736902915]]"
2061,101.83394783,"[[-123.18681032092881, 49.23644249264611], [-123.18820920579785, 49.23644644229452]]"
2062,46.44048389,"[[-123.18200381394323, 49.23772759433727], [-123.18200519130633, 49.23730985270283]]"
2063,79.2222073,"[[-123.19523081812453, 49.23424316645497], [-123.19618635001368, 49.234584195903054]]"
2064,28.24726414,"[[-123.14356377601815, 49.212306270428435], [-123.14356377477273, 49.21230631450691], [-123.14355410801242, 49.21256028328849]]"
2065,52.83163288,"[[-123.1852756732497, 49.240947882581295], [-123.18527977407184, 49.240472658035486]]"
2066,25.73180287,"[[-123.08968005717806, 49.277712147569304], [-123.08969012227494, 49.27748077914148]]"
2067,99.26953648,"[[-123.19062363437322, 49.26959950405014], [-123.1906404516387, 49.26916284829919], [-123.19065869791059, 49.26870685226706]]"
