,Coordinates
610,"[49.335671, -123.059425]"
611,"[49.335691, -123.065242]"
612,"[49.335692, -123.069292]"
613,"[49.333811, -123.072162]"
614,"[49.329781, -123.072264]"
615,"[49.327967, -123.072286]"
616,"[49.32594, -123.072367]"
617,"[49.32386, -123.07242]"
618,"[49.319603, -123.072528]"
619,"[49.316896, -123.073701]"
620,"[49.314819, -123.075818]"
621,"[49.313148, -123.077513]"
622,"[49.311599, -123.07911]"
623,"[49.275642, -122.798595]"
624,"[49.262253, -122.798185]"
625,"[49.247693, -122.8046]"
626,"[49.249444, -122.803404]"
627,"[49.249409, -122.803542]"
628,"[49.246646, -122.805258]"
629,"[49.244403, -122.808578]"
630,"[49.241103, -122.813687]"
631,"[49.233023, -122.853816]"
632,"[49.234932, -122.863041]"
633,"[49.267094, -123.246353]"
634,"[49.195521, -123.125926]"
635,"[49.263836, -123.243631]"
636,"[49.260754, -123.240994]"
637,"[49.255191, -123.238457]"
638,"[49.234699, -123.185622]"
639,"[49.234677, -123.172505]"
640,"[49.234512, -123.15582]"
641,"[49.234268, -123.140768]"
642,"[49.203574, -123.134696]"
643,"[49.20687, -123.13058]"
644,"[49.234426, -123.140514]"
645,"[49.234659, -123.156488]"
646,"[49.23482, -123.173797]"
647,"[49.234831, -123.185966]"
648,"[49.255122, -123.237649]"
649,"[49.262267, -123.241873]"
650,"[49.264762, -123.243949]"
651,"[49.313392, -123.044085]"
652,"[49.313426, -123.046433]"
653,"[49.313456, -123.049318]"
654,"[49.313495, -123.052457]"
655,"[49.313555, -123.055178]"
656,"[49.313621, -123.060973]"
657,"[49.313659, -123.063643]"
658,"[49.314552, -123.067727]"
659,"[49.31592, -123.070797]"
660,"[49.336578, -123.072813]"
661,"[49.336595, -123.077605]"
662,"[49.336616, -123.07995]"
663,"[49.336609, -123.082772]"
664,"[49.33662, -123.087189]"
665,"[49.336658, -123.093395]"
666,"[49.33667, -123.096151]"
667,"[49.336681, -123.098293]"
668,"[49.338241, -123.100533]"
669,"[49.352985, -123.094911]"
670,"[49.306096, -123.03495]"
671,"[49.308549, -123.040349]"
672,"[49.310559, -123.040303]"
673,"[49.313357, -123.040973]"
674,"[49.336461, -123.074313]"
675,"[49.31621, -123.073504]"
676,"[49.315255, -123.070211]"
677,"[49.313987, -123.067295]"
678,"[49.31354, -123.065334]"
679,"[49.313508, -123.062738]"
680,"[49.313474, -123.059738]"
681,"[49.313424, -123.056138]"
682,"[49.313391, -123.053994]"
683,"[49.313365, -123.051379]"
684,"[49.313317, -123.048554]"
685,"[49.313273, -123.04582]"
686,"[49.313256, -123.043226]"
687,"[49.312833, -123.040448]"
688,"[49.309616, -123.040536]"
689,"[49.308076, -123.040574]"
690,"[49.306303, -123.036502]"
691,"[49.305956, -123.03147]"
692,"[49.340899, -123.106696]"
693,"[49.338785, -123.103816]"
694,"[49.337217, -123.101685]"
695,"[49.336585, -123.10019]"
696,"[49.336538, -123.094807]"
697,"[49.336521, -123.092783]"
698,"[49.336512, -123.087269]"
699,"[49.336502, -123.083972]"
700,"[49.336493, -123.081023]"
701,"[49.336489, -123.078425]"
702,"[49.368348, -123.100261]"
703,"[49.366256, -123.10193]"
704,"[49.364055, -123.103364]"
705,"[49.357688, -123.106787]"
706,"[49.356151, -123.105174]"
707,"[49.352469, -123.095092]"
708,"[49.3379, -123.101407]"
709,"[49.357969, -123.106332]"
710,"[49.30514, -123.028313]"
711,"[49.313585, -123.058095]"
712,"[49.338965, -123.103786]"
713,"[49.33943, -123.106891]"
714,"[49.339563, -123.11304]"
715,"[49.226926, -122.944373]"
716,"[49.228016, -122.945639]"
717,"[49.229857, -122.947832]"
718,"[49.231053, -122.949269]"
719,"[49.233087, -122.951667]"
720,"[49.236222, -122.955116]"
721,"[49.239084, -122.961484]"
722,"[49.240068, -122.965509]"
723,"[49.245953, -122.975377]"
724,"[49.247632, -122.978101]"
725,"[49.249554, -122.981263]"
726,"[49.250067, -122.985845]"
727,"[49.252333, -122.988923]"
728,"[49.253824, -122.989317]"
729,"[49.254778, -122.995126]"
730,"[49.254764, -122.9987]"
731,"[49.25474, -123.002423]"
732,"[49.20405, -122.914884]"
733,"[49.205415, -122.916599]"
734,"[49.206953, -122.918537]"
735,"[49.208149, -122.920043]"
736,"[49.21006, -122.922435]"
737,"[49.21154, -122.924296]"
738,"[49.212786, -122.925861]"
739,"[49.21433, -122.927874]"
740,"[49.216422, -122.930621]"
741,"[49.218787, -122.933888]"
742,"[49.220067, -122.935607]"
743,"[49.221919, -122.938077]"
744,"[49.22316, -122.939668]"
745,"[49.224812, -122.941774]"
746,"[49.244602, -122.972866]"
747,"[49.266233, -123.000711]"
748,"[49.200879, -122.912854]"
749,"[49.266221, -122.99977]"
750,"[49.266536, -123.001909]"
751,"[49.016532, -122.787433]"
752,"[49.016527, -122.784301]"
753,"[49.016521, -122.780833]"
754,"[49.018631, -122.779183]"
755,"[49.020517, -122.779172]"
756,"[49.022218, -122.779154]"
757,"[49.024203, -122.779144]"
758,"[49.025949, -122.779142]"
759,"[49.027694, -122.779111]"
760,"[49.029277, -122.779818]"
761,"[49.029281, -122.782374]"
762,"[49.029283, -122.785367]"
763,"[49.02929, -122.78777]"
764,"[49.029303, -122.790751]"
765,"[49.029325, -122.793181]"
766,"[49.029368, -122.798787]"
767,"[49.029972, -122.801045]"
768,"[49.03091, -122.86764]"
769,"[49.032785, -122.801052]"
770,"[49.028902, -122.867634]"
771,"[49.027164, -122.865876]"
772,"[49.027146, -122.863722]"
773,"[49.026682, -122.858912]"
774,"[49.026842, -122.853771]"
775,"[49.026924, -122.851296]"
776,"[49.02702, -122.848008]"
777,"[49.027101, -122.845857]"
778,"[49.027334, -122.839551]"
779,"[49.027482, -122.833913]"
780,"[49.026623, -122.830266]"
781,"[49.026054, -122.824792]"
782,"[49.02544, -122.822273]"
783,"[49.024751, -122.818651]"
784,"[49.02419, -122.815495]"
785,"[49.023366, -122.812699]"
786,"[49.022583, -122.810074]"
787,"[49.021809, -122.807476]"
788,"[49.020745, -122.803855]"
789,"[49.019905, -122.800901]"
790,"[49.019036, -122.798086]"
791,"[49.017816, -122.794239]"
792,"[49.016529, -122.789729]"
793,"[49.222855, -122.910938]"
794,"[49.224437, -122.908074]"
795,"[49.225365, -122.906318]"
796,"[49.227389, -122.902493]"
797,"[49.229848, -122.897841]"
798,"[49.230861, -122.895894]"
799,"[49.231543, -122.892139]"
800,"[49.231517, -122.889691]"
801,"[49.200201, -122.953131]"
802,"[49.200902, -122.951795]"
803,"[49.201937, -122.949878]"
804,"[49.203012, -122.947894]"
805,"[49.204196, -122.945705]"
806,"[49.205399, -122.943472]"
807,"[49.207123, -122.940277]"
808,"[49.208968, -122.936873]"
809,"[49.210659, -122.933713]"
810,"[49.212641, -122.93007]"
811,"[49.214252, -122.927079]"
812,"[49.216164, -122.923432]"
813,"[49.217551, -122.920951]"
814,"[49.219576, -122.917194]"
815,"[49.221477, -122.913517]"
816,"[49.261177, -122.773908]"
817,"[49.285799, -122.737912]"
818,"[49.275171, -122.798783]"
819,"[49.265557, -122.77371]"
820,"[49.265534, -122.776059]"
